date,state,area
2003,Johor,356922.0
2003,Kedah,344530.0
2003,Kelantan,629687.0
2003,Melaka,5468.0
2003,Negeri Sembilan,165639.0
2003,Pahang,1524132.0
2003,Perak,884205.0
2003,Perlis,10718.0
2003,Pulau Pinang,5139.0
2003,Sabah,3563186.0
2003,Sarawak,4836800.0
2003,Selangor,233781.0
2003,Semenanjung Malaysia,4696211.0
2003,Terengganu,535929.0
2003,Kuala Lumpur,61.0
2003,Labuan,0.0
2003,Putrajaya,0.0
2004,Johor,355772.0
2004,Kedah,342613.0
2004,Kelantan,629367.0
2004,Melaka,5185.0
2004,Negeri Sembilan,162075.0
2004,Pahang,1524132.0
2004,Perak,884205.0
2004,Perlis,10718.0
2004,Pulau Pinang,5434.0
2004,Sabah,3543186.0
2004,Sarawak,4806300.0
2004,Selangor,233781.0
2004,Semenanjung Malaysia,4683505.0
2004,Terengganu,530162.0
2004,Kuala Lumpur,61.0
2004,Labuan,0.0
2004,Putrajaya,0.0
2005,Johor,375864.0
2005,Kedah,342613.0
2005,Kelantan,629687.0
2005,Melaka,5185.0
2005,Negeri Sembilan,160151.0
2005,Pahang,1519501.0
2005,Perak,884205.0
2005,Perlis,10718.0
2005,Pulau Pinang,5434.0
2005,Sabah,3523186.0
2005,Sarawak,4779900.0
2005,Selangor,239782.0
2005,Semenanjung Malaysia,4711264.0
2005,Terengganu,538063.0
2005,Kuala Lumpur,61.0
2005,Labuan,0.0
2005,Putrajaya,0.0
2006,Johor,391499.0
2006,Kedah,342613.0
2006,Kelantan,629687.0
2006,Melaka,5159.0
2006,Negeri Sembilan,156275.0
2006,Pahang,1519501.0
2006,Perak,884205.0
2006,Perlis,10718.0
2006,Pulau Pinang,5434.0
2006,Sabah,3503186.0
2006,Sarawak,4778300.0
2006,Selangor,235212.0
2006,Semenanjung Malaysia,4726182.0
2006,Terengganu,545818.0
2006,Kuala Lumpur,61.0
2006,Labuan,0.0
2006,Putrajaya,0.0
2007,Johor,391499.0
2007,Kedah,342613.0
2007,Kelantan,629687.0
2007,Melaka,5079.0
2007,Negeri Sembilan,154185.0
2007,Pahang,1484099.0
2007,Perak,884205.0
2007,Perlis,10718.0
2007,Pulau Pinang,6098.0
2007,Sabah,3604867.0
2007,Sarawak,4692900.0
2007,Selangor,241568.0
2007,Semenanjung Malaysia,4695630.0
2007,Terengganu,545818.0
2007,Kuala Lumpur,61.0
2007,Labuan,0.0
2007,Putrajaya,0.0
2008,Johor,441251.0
2008,Kedah,342613.0
2008,Kelantan,623849.0
2008,Melaka,5080.0
2008,Negeri Sembilan,155909.0
2008,Pahang,1562496.0
2008,Perak,873936.0
2008,Perlis,10586.0
2008,Pulau Pinang,6098.0
2008,Sabah,3604867.0
2008,Sarawak,4681543.0
2008,Selangor,241568.0
2008,Semenanjung Malaysia,4807565.0
2008,Terengganu,544118.0
2008,Kuala Lumpur,61.0
2008,Labuan,0.0
2008,Putrajaya,0.0
2009,Johor,438751.0
2009,Kedah,342613.0
2009,Kelantan,623849.0
2009,Melaka,5080.0
2009,Negeri Sembilan,157058.0
2009,Pahang,1562902.0
2009,Perak,991436.0
2009,Perlis,10808.0
2009,Pulau Pinang,6098.0
2009,Sabah,3604894.0
2009,Sarawak,4583609.0
2009,Selangor,247793.0
2009,Semenanjung Malaysia,4930569.0
2009,Terengganu,544118.0
2009,Kuala Lumpur,63.0
2009,Labuan,0.0
2009,Putrajaya,0.0
2010,Johor,432678.0
2010,Kedah,342613.0
2010,Kelantan,623849.0
2010,Melaka,5079.0
2010,Negeri Sembilan,153837.0
2010,Pahang,1562902.0
2010,Perak,987511.0
2010,Perlis,10808.0
2010,Pulau Pinang,6098.0
2010,Sabah,3606647.0
2010,Selangor,250129.0
2010,Semenanjung Malaysia,4919685.0
2010,Terengganu,544118.0
2010,Kuala Lumpur,63.0
2010,Labuan,0.0
2010,Putrajaya,0.0
2011,Johor,432208.0
2011,Kedah,342613.0
2011,Kelantan,623849.0
2011,Melaka,4818.0
2011,Negeri Sembilan,153459.0
2011,Pahang,1562902.0
2011,Perak,986262.0
2011,Perlis,10799.0
2011,Pulau Pinang,6098.0
2011,Sabah,3606647.0
2011,Selangor,250129.0
2011,Semenanjung Malaysia,4912434.0
2011,Terengganu,539234.0
2011,Kuala Lumpur,63.0
2011,Labuan,0.0
2011,Putrajaya,0.0
2012,Johor,432208.0
2012,Kedah,325463.0
2012,Kelantan,623849.0
2012,Melaka,5151.0
2012,Negeri Sembilan,154578.0
2012,Pahang,1562902.0
2012,Perak,983136.0
2012,Perlis,10799.0
2012,Pulau Pinang,6098.0
2012,Sabah,3609249.0
2012,Sarawak,4337164.0
2012,Selangor,250129.0
2012,Semenanjung Malaysia,4893613.0
2012,Terengganu,539232.0
2012,Kuala Lumpur,68.0
2012,Labuan,0.0
2012,Putrajaya,0.0
2013,Johor,432209.0
2013,Kedah,341976.0
2013,Kelantan,623849.0
2013,Melaka,5151.0
2013,Negeri Sembilan,154676.0
2013,Pahang,1562902.0
2013,Perak,1003616.0
2013,Perlis,10799.0
2013,Pulau Pinang,6060.0
2013,Sabah,3614730.0
2013,Sarawak,4368066.0
2013,Selangor,250129.0
2013,Semenanjung Malaysia,4936290.0
2013,Terengganu,544855.0
2013,Kuala Lumpur,68.0
2013,Labuan,0.0
2013,Putrajaya,0.0
2014,Johor,432184.0
2014,Kedah,341976.0
2014,Kelantan,623849.0
2014,Melaka,5093.0
2014,Negeri Sembilan,155825.0
2014,Pahang,1562900.0
2014,Perak,999967.0
2014,Perlis,10799.0
2014,Pulau Pinang,6060.0
2014,Sabah,3615066.0
2014,Sarawak,4352828.0
2014,Selangor,250129.0
2014,Semenanjung Malaysia,4933787.0
2014,Terengganu,544937.0
