date,state,area,rate_of_decrease
2003,Johor,356922.0,
2004,Johor,355772.0,-0.322199248014976
2005,Johor,375864.0,5.6474371226515885
2006,Johor,391499.0,4.159749271012925
2007,Johor,391499.0,0.0
2008,Johor,441251.0,12.708078436981962
2009,Johor,438751.0,-0.5665709539468433
2010,Johor,432678.0,-1.3841563893871478
2011,Johor,432208.0,-0.10862581411580363
2012,Johor,432208.0,0.0
2013,Johor,432209.0,0.00023137008107187995
2014,Johor,432184.0,-0.005784238643802286
2015,Johor,414637.0,-4.060076263813562
2016,Johor,414628.0,-0.002170573296644829
2017,Johor,332749.0,-19.747580964141353
2018,Johor,332749.0,0.0
2019,Johor,334292.0,0.46371288869389016
2020,Johor,334292.0,0.0
2021,Johor,334502.0,0.06281933160230402
2003,Kedah,344530.0,
2004,Kedah,342613.0,-0.5564101819870548
2005,Kedah,342613.0,0.0
2006,Kedah,342613.0,0.0
2007,Kedah,342613.0,0.0
2008,Kedah,342613.0,0.0
2009,Kedah,342613.0,0.0
2010,Kedah,342613.0,0.0
2011,Kedah,342613.0,0.0
2012,Kedah,325463.0,-5.005647771684085
2013,Kedah,341976.0,5.073695012950785
2014,Kedah,341976.0,0.0
2015,Kedah,341976.0,0.0
2016,Kedah,341976.0,0.0
2017,Kedah,341976.0,0.0
2018,Kedah,341976.0,0.0
2019,Kedah,341976.0,0.0
2020,Kedah,341976.0,0.0
2021,Kedah,341976.0,0.0
2003,Kelantan,629687.0,
2004,Kelantan,629367.0,-0.05081889891327407
2005,Kelantan,629687.0,0.0508447376490917
2006,Kelantan,629687.0,0.0
2007,Kelantan,629687.0,0.0
2008,Kelantan,623849.0,-0.9271272870489677
2009,Kelantan,623849.0,0.0
2010,Kelantan,623849.0,0.0
2011,Kelantan,623849.0,0.0
2012,Kelantan,623849.0,0.0
2013,Kelantan,623849.0,0.0
2014,Kelantan,623849.0,0.0
2015,Kelantan,623849.0,0.0
2016,Kelantan,635437.0,1.8575007734243476
2017,Kelantan,613275.0,-3.487678558220564
2018,Kelantan,613275.0,0.0
2019,Kelantan,629775.0,2.6904732787085717
2020,Kelantan,629881.0,0.016831408042561335
2021,Kelantan,629881.0,0.0
2003,Melaka,5468.0,
2004,Melaka,5185.0,-5.1755669348939275
2005,Melaka,5185.0,0.0
2006,Melaka,5159.0,-0.5014464802314378
2007,Melaka,5079.0,-1.5506881178522947
2008,Melaka,5080.0,0.019688915140769758
2009,Melaka,5080.0,0.0
2010,Melaka,5079.0,-0.019685039370076485
2011,Melaka,4818.0,-5.138806851742473
2012,Melaka,5151.0,6.911581569115821
2013,Melaka,5151.0,0.0
2014,Melaka,5093.0,-1.1259949524364155
2015,Melaka,5104.0,0.21598272138227959
2016,Melaka,5137.0,0.6465517241379226
2017,Melaka,5138.0,0.019466614755692113
2018,Melaka,5199.0,1.1872323861424672
2019,Melaka,5199.0,0.0
2020,Melaka,5199.0,0.0
2021,Melaka,5199.0,0.0
2003,Negeri Sembilan,165639.0,
2004,Negeri Sembilan,162075.0,-2.1516671798308407
2005,Negeri Sembilan,160151.0,-1.1871047354619746
2006,Negeri Sembilan,156275.0,-2.4202159212243446
2007,Negeri Sembilan,154185.0,-1.3373860182370856
2008,Negeri Sembilan,155909.0,1.118137302591049
2009,Negeri Sembilan,157058.0,0.7369683597483245
2010,Negeri Sembilan,153837.0,-2.0508347234779456
2011,Negeri Sembilan,153459.0,-0.24571462001988786
2012,Negeri Sembilan,154578.0,0.7291849940374906
2013,Negeri Sembilan,154676.0,0.06339841374580768
2014,Negeri Sembilan,155825.0,0.7428431042954209
2015,Negeri Sembilan,155708.0,-0.0750842291031617
2016,Negeri Sembilan,155650.0,-0.037249210059853155
2017,Negeri Sembilan,155650.0,0.0
2018,Negeri Sembilan,155549.0,-0.06488917442980524
2019,Negeri Sembilan,155492.0,-0.03664440144263148
2020,Negeri Sembilan,155143.0,-0.2244488462428973
2021,Negeri Sembilan,155143.0,0.0
2003,Pahang,1524132.0,
2004,Pahang,1524132.0,0.0
2005,Pahang,1519501.0,-0.30384507378625747
2006,Pahang,1519501.0,0.0
2007,Pahang,1484099.0,-2.3298438105667563
2008,Pahang,1562496.0,5.282464309995483
2009,Pahang,1562902.0,0.025984066519213478
2010,Pahang,1562902.0,0.0
2011,Pahang,1562902.0,0.0
2012,Pahang,1562902.0,0.0
2013,Pahang,1562902.0,0.0
2014,Pahang,1562900.0,-0.0001279670766352048
2015,Pahang,1563993.0,0.06993409687119367
2016,Pahang,1559913.0,-0.26087073279740247
2017,Pahang,1558898.0,-0.06506773134142829
2018,Pahang,1559385.0,0.031240016986355812
